metric_or_field_id,display_name,catalog_group,state_group,primary_embedding_target,recommended_raw_table,recommended_feature_table,recommended_serving_table,candidate_supervised_heads,model_component,mapped_models
professional_services.qa_validation_acceptance.execution_count.job_level,qa validation acceptance execution count,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.qa_validation_acceptance.execution_count.rolling_90d,qa validation acceptance execution count,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.qa_validation_acceptance.avg_duration_min.job_level,qa validation acceptance avg duration min,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.qa_validation_acceptance.avg_duration_min.rolling_90d,qa validation acceptance avg duration min,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.qa_validation_acceptance.on_plan_rate.job_level,qa validation acceptance on plan rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.qa_validation_acceptance.on_plan_rate.rolling_90d,qa validation acceptance on plan rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.qa_validation_acceptance.first_pass_rate.job_level,qa validation acceptance first pass rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.qa_validation_acceptance.first_pass_rate.rolling_90d,qa validation acceptance first pass rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.qa_validation_acceptance.defect_or_exception_rate.job_level,qa validation acceptance defect or exception rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.qa_validation_acceptance.defect_or_exception_rate.rolling_90d,qa validation acceptance defect or exception rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.qa_validation_acceptance.evidence_complete_rate.job_level,qa validation acceptance evidence complete rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.qa_validation_acceptance.evidence_complete_rate.rolling_90d,qa validation acceptance evidence complete rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.qa_validation_acceptance.rework_rate.job_level,qa validation acceptance rework rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.qa_validation_acceptance.rework_rate.rolling_90d,qa validation acceptance rework rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.documentation_training.execution_count.job_level,documentation training execution count,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.documentation_training.execution_count.rolling_90d,documentation training execution count,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.documentation_training.avg_duration_min.job_level,documentation training avg duration min,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.documentation_training.avg_duration_min.rolling_90d,documentation training avg duration min,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.documentation_training.on_plan_rate.job_level,documentation training on plan rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.documentation_training.on_plan_rate.rolling_90d,documentation training on plan rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.documentation_training.first_pass_rate.job_level,documentation training first pass rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.documentation_training.first_pass_rate.rolling_90d,documentation training first pass rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.documentation_training.defect_or_exception_rate.job_level,documentation training defect or exception rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.documentation_training.defect_or_exception_rate.rolling_90d,documentation training defect or exception rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.documentation_training.evidence_complete_rate.job_level,documentation training evidence complete rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.documentation_training.evidence_complete_rate.rolling_90d,documentation training evidence complete rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.documentation_training.rework_rate.job_level,documentation training rework rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.documentation_training.rework_rate.rolling_90d,documentation training rework rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_DOCUMENTATION_CLOSEOUT,fact_artifact_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),documentation_acceptance | closeout_rejection_risk | auditability_score,Domain Expert Bank + Universal Overlay,Acceptance Rate Aggregator; Documentation Failure Model; Domain Expert Bank; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.remediation_optimization.execution_count.job_level,remediation optimization execution count,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.remediation_optimization.execution_count.rolling_90d,remediation optimization execution count,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.remediation_optimization.avg_duration_min.job_level,remediation optimization avg duration min,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.remediation_optimization.avg_duration_min.rolling_90d,remediation optimization avg duration min,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.remediation_optimization.on_plan_rate.job_level,remediation optimization on plan rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.remediation_optimization.on_plan_rate.rolling_90d,remediation optimization on plan rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.remediation_optimization.first_pass_rate.job_level,remediation optimization first pass rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.remediation_optimization.first_pass_rate.rolling_90d,remediation optimization first pass rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.remediation_optimization.defect_or_exception_rate.job_level,remediation optimization defect or exception rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.remediation_optimization.defect_or_exception_rate.rolling_90d,remediation optimization defect or exception rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.remediation_optimization.evidence_complete_rate.job_level,remediation optimization evidence complete rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.remediation_optimization.evidence_complete_rate.rolling_90d,remediation optimization evidence complete rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.remediation_optimization.rework_rate.job_level,remediation optimization rework rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
professional_services.remediation_optimization.rework_rate.rolling_90d,remediation optimization rework rate,domain_operational_metric,domain_state,D_PROFESSIONAL_SERVICES_VALIDATION_QUALITY,fact_qc_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),first_pass_qc | defect_risk | retest_risk,Domain Expert Bank + Universal Overlay,Domain Expert Bank; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
itad.site_pickup_collection.execution_count.job_level,site pickup collection execution count,domain_operational_metric,domain_state,D_ITAD_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
itad.site_pickup_collection.execution_count.rolling_90d,site pickup collection execution count,domain_operational_metric,domain_state,D_ITAD_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
itad.site_pickup_collection.avg_duration_min.job_level,site pickup collection avg duration min,domain_operational_metric,domain_state,D_ITAD_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
itad.site_pickup_collection.avg_duration_min.rolling_90d,site pickup collection avg duration min,domain_operational_metric,domain_state,D_ITAD_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
itad.site_pickup_collection.on_plan_rate.job_level,site pickup collection on plan rate,domain_operational_metric,domain_state,D_ITAD_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
itad.site_pickup_collection.on_plan_rate.rolling_90d,site pickup collection on plan rate,domain_operational_metric,domain_state,D_ITAD_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
itad.site_pickup_collection.first_pass_rate.job_level,site pickup collection first pass rate,domain_operational_metric,domain_state,D_ITAD_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
itad.site_pickup_collection.first_pass_rate.rolling_90d,site pickup collection first pass rate,domain_operational_metric,domain_state,D_ITAD_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank; Universal State Encoder
itad.site_pickup_collection.defect_or_exception_rate.job_level,site pickup collection defect or exception rate,domain_operational_metric,domain_state,D_ITAD_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
itad.site_pickup_collection.defect_or_exception_rate.rolling_90d,site pickup collection defect or exception rate,domain_operational_metric,domain_state,D_ITAD_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
itad.site_pickup_collection.evidence_complete_rate.job_level,site pickup collection evidence complete rate,domain_operational_metric,domain_state,D_ITAD_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_runbook_step_event / fact_domain_tool_log / fact_qc_event,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
itad.site_pickup_collection.evidence_complete_rate.rolling_90d,site pickup collection evidence complete rate,domain_operational_metric,domain_state,D_ITAD_EXECUTION,fact_runbook_step_event / fact_domain_tool_log,fact_technician_domain_state_daily,serving_tech_embedding_cache (domain slice),domain_step_success | duration_overrun_risk | redispatch_risk,Domain Expert Bank + Universal Overlay,Access Delay / Site Friction Model; Domain Expert Bank; Duration Overrun Predictor; No-Show / Cancellation Risk Model; Subdomain Adapter Bank; Universal State Encoder
